# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-p" "-a" "annotations/Homo_sapiens.GRCh38.chrX.gtf" "-o" "alignments/counts.txt" "alignments/SRR5223500Aligned.sortedByCoord.out.bam" "alignments/SRR5223505Aligned.sortedByCoord.out.bam" "alignments/SRR5223522Aligned.sortedByCoord.out.bam" "alignments/SRR5223543Aligned.sortedByCoord.out.bam" "alignments/SRR5223547Aligned.sortedByCoord.out.bam" "alignments/SRR5223570Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/SRR5223500Aligned.sortedByCoord.out.bam	alignments/SRR5223505Aligned.sortedByCoord.out.bam	alignments/SRR5223522Aligned.sortedByCoord.out.bam	alignments/SRR5223543Aligned.sortedByCoord.out.bam	alignments/SRR5223547Aligned.sortedByCoord.out.bam	alignments/SRR5223570Aligned.sortedByCoord.out.bam
ENSG00000167393	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	333933;334235;334239;338604;338604;338613;338778;338778;338778;340765;340765;340765;340765;340765;341307;341307;341307;341307;341307;341883;341883;341883;341911;344896;345516;345516;345516;345516;345516;346174;346174;346174;346174;346637;346701;346701;346701;346720;347234;347234;347234;347234;347234;347590;347590;347590;347590;347611;361405;361405;361405;361405;362255;373532;386368;386368	334517;334517;338710;338710;338710;338896;338896;338896;338896;340940;340940;340940;340940;340940;341396;341396;341931;341396;341711;341931;342237;341931;341931;345672;345672;345626;345629;345672;345672;346260;346514;346260;346260;346775;346775;346775;346775;346775;347336;347336;347336;347324;347336;347838;347693;347693;347693;347693;361590;361516;361590;361590;362332;374044;386955;386907	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9045	60	41	23	42	36	4
ENSG00000225661	X;X;X	1008503;1009092;1009710	1008551;1009380;1010101	-;-;-	730	495	358	414	421	321	55
ENSG00000235039	X	5168918	5169439	-	522	0	0	0	0	0	0
ENSG00000238193	X	5305714	5307128	-	1415	156	104	68	118	100	14
ENSG00000236188	X;X;X	3659487;3667282;3667934	3659538;3667486;3668192	+;+;+	516	0	0	0	0	0	0
ENSG00000228572	X;X	253743;254937	253846;255091	+;+	259	0	0	0	1	0	0
ENSG00000236513	X;X;X	4627200;4630222;4633508	4628189;4630350;4633572	-;-;-	1184	0	0	0	0	0	0
ENSG00000183943	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	3604340;3608625;3610951;3611222;3612177;3612177;3612177;3612310;3615815;3615815;3621259;3621259;3626419;3626419;3641852;3641852;3655149;3655149;3670179;3674598;3713088	3608945;3608945;3611334;3611334;3612281;3612325;3612255;3612325;3615892;3615892;3621316;3621316;3626514;3626514;3641971;3641971;3655412;3655412;3670215;3674766;3713649	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6523	545	453	453	278	224	104
ENSG00000225574	X	8783514	8784461	-	948	0	0	0	0	0	0
ENSG00000177504	X;X;X	8169944;8170542;8171107	8170349;8170789;8171267	-;-;-	815	0	0	0	0	0	0
ENSG00000231619	X	8856665	8857059	-	395	37	53	40	32	44	8
ENSG00000231216	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	13310652;13310856;13311030;13311702;13311833;13312061;13312235;13312762;13313027;13313269;13314489;13314998;13315525;13316562;13318788;13319008;13319619	13310742;13310922;13311088;13311713;13311858;13312131;13312647;13312871;13313081;13313340;13314613;13315067;13315611;13316702;13318836;13319493;13319933	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2249	0	0	0	0	0	0
ENSG00000225271	X	8980425	8982505	-	2081	104	147	88	79	157	22
ENSG00000185291	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	1336616;1336785;1336796;1341728;1341728;1341728;1345316;1348431;1352100;1352100;1352100;1352322;1352322;1352322;1356221;1356221;1356221;1358861;1358861;1365138;1365138;1378659;1378659;1381023;1381023;1382391;1382391	1336926;1336926;1336926;1341829;1341829;1341829;1345434;1348545;1352232;1352232;1352232;1352506;1352506;1352506;1356336;1356331;1356336;1358887;1358887;1365252;1365252;1378764;1378764;1381104;1381104;1382689;1382689	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1710	10	8	11	3	3	2
ENSG00000182162	X;X;X;X	1462581;1466437;1494093;1536921	1466582;1466582;1494353;1537185	-;-;-;-	4528	879	615	577	522	470	142
ENSG00000237730	X	6422092	6422701	-	610	3264	2532	1514	2413	2300	392
ENSG00000226313	X	5169512	5170645	+	1134	0	0	0	0	0	0
ENSG00000182888	X	3717149	3717600	+	452	5290	3876	3304	4001	2886	780
ENSG00000215313	X	16198428	16199289	-	862	1828	1524	762	1696	1848	340
ENSG00000169100	X;X;X;X;X;X;X;X;X;X;X;X	1386152;1387279;1387311;1387345;1389241;1389241;1389241;1390192;1390192;1391899;1391899;1391899	1386759;1387419;1387419;1387419;1389727;1389727;1389727;1390290;1390293;1392088;1392103;1392113	-;-;-;-;-;-;-;-;-;-;-;-	1553	2020	2253	924	1979	1721	360
ENSG00000125363	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	11293413;11293413;11293413;11294777;11294777;11294777;11296779;11296779;11298103;11298236;11298236;11298236;11298548;11298548;11298548;11300607;11300607;11300607	11293468;11293468;11293468;11294842;11294842;11294842;11296826;11296826;11298144;11298277;11298277;11298277;11298973;11298973;11298973;11300753;11300761;11300761	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	835	0	0	0	0	0	0
ENSG00000223571	X;X	2334295;2336385	2334919;2336410	-;-	651	1	1	0	0	0	0
ENSG00000169084	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	2219506;2243023;2243062;2261394;2266740;2266740;2266740;2266770;2266854;2291502;2291502;2291502;2291502;2291502;2337831;2392354;2392354;2408745;2408745;2408745;2408745;2408745;2425197;2425197;2425197;2425197;2425197;2425197;2500311;2500311;2500817;2500817;2500817;2502761	2221229;2243230;2243230;2261767;2266937;2266947;2266947;2266947;2266947;2291603;2291603;2291603;2291603;2291603;2337999;2392474;2392474;2408813;2408813;2408813;2408813;2408813;2425304;2425304;2425304;2425304;2425304;2425304;2500589;2500650;2500960;2500973;2500976;2502805	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3628	23	39	18	19	25	10
ENSG00000146950	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	9786429;9873652;9890977;9894358;9898145;9898190;9912434;9912683;9932175;9932175;9932175;9932175;9937134;9937134;9937134;9937134;9939195;9939195;9939195;9944641;9944641;9944644;9946671;9946671;9946671	9786710;9873803;9891108;9896698;9898290;9898290;9912587;9913227;9932870;9932870;9932870;9932870;9937685;9937685;9937146;9937685;9939366;9939366;9939366;9944913;9944913;9944913;9949441;9946708;9949443	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8218	0	0	0	0	0	0
ENSG00000231913	X	21421822	21422294	-	473	0	0	0	0	0	0
ENSG00000011201	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	8528874;8534319;8535181;8535591;8536771;8536771;8539664;8553952;8565806;8568232;8568232;8570499;8570499;8585267;8587794;8597034;8623608;8699698;8731830	8533053;8534460;8535811;8535811;8536936;8536942;8539758;8554098;8566212;8568376;8568376;8570650;8570704;8585396;8587978;8597256;8623670;8699745;8732137	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7082	10	0	10	4	4	2
ENSG00000169093	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	1403139;1403139;1403141;1412732;1412732;1412732;1417973;1417973;1417973;1418982;1418982;1418982;1421658;1421658;1421658;1425525;1425525;1425525;1427727;1427734;1427734;1427734;1431902;1432269;1432269;1432269;1432269;1435022;1435022;1435022;1435022;1435022;1435694;1435694;1435694;1435694;1439097;1439097;1441592;1442186;1442186;1442186;1452748;1452748;1452748;1453618	1403489;1403489;1403489;1412854;1412854;1412854;1418116;1418116;1418116;1419114;1419114;1419114;1421842;1421842;1421842;1425687;1425687;1425687;1428121;1428121;1428121;1428121;1432377;1432377;1432377;1432377;1432377;1435083;1435083;1435391;1435083;1435083;1435758;1435728;1435758;1435758;1439144;1439144;1442317;1442317;1442317;1442317;1452872;1452929;1452909;1453762	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3506	75	85	36	73	58	6
ENSG00000275194	X;X;X;X	11221348;11223156;11224221;11225669	11221380;11223270;11224339;11225731	+;+;+;+	330	0	0	0	0	0	0
ENSG00000225722	X;X	3953056;3953488	3953455;3953561	+;+	474	746	702	454	552	582	110
ENSG00000177138	X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X	9024232;9024232;9024995;9025077;9025105;9025105;9025484;9025484;9025484;9025484;9025484;9025484;9027868;9027868;9027868;9027868;9027868;9027868;9029307;9029307;9029307;9029307;9029307;9029307;9030122;9030261;9030261;9030261;9030261;9030261;9032130;9032130;9032130;9032130;9032130;9032341;9032341;9032341;9032341;9032341;9032341;9032959;9032959;9032959;9032959;9032959;9033852;9082579;9082579;9082579;9160614;9162198;9162797;9162797;9162797;9162797;9163077;9164293;9164533;9295637	9025377;9025377;9025377;9025377;9025377;9025377;9025583;9025583;9025583;9025583;9025583;9025583;9027966;9027966;9027966;9027966;9027966;9027966;9029418;9029418;9029418;9029418;9029418;9029418;9030206;9030360;9032161;9030360;9030360;9030360;9032161;9032161;9032161;9032161;9032161;9032461;9033075;9032461;9032461;9032461;9032461;9033075;9033075;9033075;9033075;9033310;9034127;9082735;9082735;9082735;9161914;9162313;9162904;9162904;9162904;9162904;9163201;9164606;9164639;9295682	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6889	0	0	2	0	0	0
